,2015.0,2020.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0,
AL,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
AT,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
BA,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
BE,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
BG,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
CH,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
CY,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
CZ,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
DE,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
DK,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
EE,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
ES,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
FI,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
FR,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
UK,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
EL,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
HR,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
HU,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
IE,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
IS,,,,,,,,,
IT,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
LT,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
LU,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
LV,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
ME,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
MK,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
MT,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
NL,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
NO,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
PL,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
PT,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
RO,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
RS+KS,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
SE,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
SI,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
SK,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
TR,0.7560502283105023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
TR,,,,,,,,,
